target,mean,lo,hi
2.9600613,2.808558,2.3121963,3.3430336
2.3381743,2.06604,1.4433218,2.7108636
2.2047114,2.2762022,1.7806975,2.7671447
1.8842033,1.8356755,1.475114,2.292545
2.3395042,3.3270469,2.61539,3.845446
2.204261,2.7396853,2.2450166,3.2110395
2.340111,2.358855,1.9011377,2.884644
2.1141343,2.4611187,1.8849792,3.039692
1.7140267,1.7132871,1.335055,2.2565563
2.9253163,2.3050928,1.8419266,2.7388084
2.3477094,2.1647794,1.7494429,2.516426
2.5391185,2.2157722,1.7239549,2.7135031
1.6112733,1.835306,1.2695315,2.406738
1.7023233,1.5674509,1.1062495,2.089807
1.420778,1.3928893,0.79979223,2.014326
1.3655324,1.4320669,1.0247886,1.7946887
2.415806,1.7971804,1.2958348,2.3403409
1.8887825,1.4820044,0.9847526,2.066592
1.3552196,1.4727117,0.99252915,2.2245154
1.3740602,1.5236181,0.8456977,2.142169
1.3521619,1.526858,1.1089512,1.9672594
1.5264171,1.999136,1.3367256,2.4901927
1.441046,1.6384209,1.0667006,2.169458
1.566901,1.3323855,0.9029163,1.967781
1.4081566,1.3056914,0.7468595,1.7242317
1.2630668,1.1093163,0.65220124,1.6954817
1.2599078,1.2369941,0.66209376,1.8238566
1.7094834,2.2108004,1.7071977,2.6486177
1.7959318,1.5913391,1.0478275,2.094478
1.7593434,1.5975045,1.1309671,2.0542967
1.714783,1.4418377,0.87364024,1.9989929
1.6843638,1.4987701,1.0842149,2.0601017
1.7736217,1.5283334,0.9726562,1.9939407
1.453085,1.5891161,0.9971749,2.1745174
1.4009811,1.5988517,1.105623,2.2540858
1.622746,1.6328665,1.1841083,2.11895
2.090092,1.6340481,1.156629,2.1616397
1.9528714,1.6024147,1.0939631,2.2688308
1.8108695,1.5584393,0.9722464,2.0539472
1.7636223,1.6150523,0.9576956,2.134042
1.4551153,1.5938921,1.1567016,2.1383932
1.2704881,1.6691889,1.138879,2.2746038
1.1984516,1.3091528,0.7430572,1.8226088
1.6915694,1.9157876,1.2945585,2.42672
1.5219922,1.8179253,1.393455,2.4876533
1.4690487,1.8593069,1.4162352,2.495693
2.2151563,2.426204,1.8650424,2.9783125
1.9794114,2.130675,1.575509,2.853881
1.9005781,1.817514,1.1855834,2.321128
1.7050498,1.5558656,0.9282782,2.1370838
1.635195,1.3904084,0.8304841,1.9086882
1.6102817,1.4971697,0.98213065,1.959067
1.7257216,2.6404295,2.2147698,3.1840584
1.8575035,2.0140011,1.6126819,2.404886
1.9509691,1.9820559,1.4937701,2.5634253
1.992856,1.9091531,1.3432204,2.4399617
1.9806659,1.8303778,1.1738662,2.4720888
2.0565572,1.7010568,1.1426963,2.2625108
1.725294,1.5644084,0.8650914,2.2720172
1.5764804,1.8328125,1.3260132,2.4330473
1.5046049,1.9345393,1.4357387,2.354425
1.7412038,1.7976782,1.24057,2.231999
1.9649774,1.8464345,1.2823086,2.2974036
1.5226324,1.7237396,1.2873303,2.2616084
1.4926031,1.9089634,1.5742888,2.2941484
0.83307266,0.9785371,0.57133627,1.4908158
1.4330413,1.4485545,1.0695022,1.9531946
1.4289101,1.3847612,0.8271611,1.7410995
1.189059,1.4572595,0.9731143,1.9431503
2.045771,2.2375524,1.7536833,2.8267586
1.7044238,1.9025134,1.3286366,2.6257772
1.5304615,1.5226768,0.908467,2.0748734
1.3753499,1.210267,0.7177904,1.7630147
1.5424125,1.0312937,0.4748785,1.4782883
1.2875199,1.0357083,0.5667484,1.6179029
2.8530645,2.490983,1.8603063,3.13979
2.1789906,1.9088714,1.5051875,2.2442834
1.4338324,1.814092,1.3900774,2.3722854
1.6011693,1.7704127,1.3592439,2.4393666
1.643574,1.6448388,1.1978402,2.0573652
1.6501205,1.5042349,1.1090511,1.9641405
1.429468,1.4750552,0.9186209,2.06329
1.2258357,1.5334163,1.048758,2.0760236
