target,mean,lo,hi
2.7936583,1.798741,1.2595137,2.4408584
2.667291,2.4946196,1.9298087,2.9402497
2.205727,2.13656,1.7402318,2.6165879
1.9871175,1.8841413,1.2362449,2.4636145
1.7694478,1.8858411,1.0529296,2.514941
0.9631261,1.5846,1.1233907,1.9945518
1.3436333,1.3180891,0.75398725,1.8541552
1.1401851,1.2080517,0.42997974,1.8207117
1.1574023,1.1947083,0.5877039,1.8918432
1.5812247,2.106196,1.5136337,2.603789
1.4000893,1.9774399,1.2795312,2.6770701
1.6496499,1.6927649,1.1400471,2.343585
1.4740864,1.4541634,0.95144343,2.200133
1.2012011,1.2209092,0.66438967,1.7028921
1.2654569,1.2335153,0.7901803,1.7158569
2.4483652,1.4870682,0.9471339,2.0858834
2.590342,2.0379624,1.4045433,2.5645232
1.8362163,1.8721296,1.429969,2.314996
1.5368389,1.7682792,1.3065604,2.1934793
1.4069824,1.5917914,0.90947706,2.0861008
1.4530065,1.6233578,1.0926054,2.197553
1.5407989,1.4010953,0.9827529,1.7802656
1.2842417,1.2684596,0.6319447,1.8657662
1.2239097,1.2106569,0.62219787,1.682002
1.4657811,2.0354877,1.5858065,2.3931878
1.0992657,1.891686,1.494616,2.3717983
1.1852382,1.7480083,1.1413094,2.110164
1.1904012,1.6930479,1.1872866,2.2892098
1.3364882,1.8068349,1.436622,2.3204544
1.3453346,1.576552,1.1346897,2.0887697
1.2790442,1.4257885,1.0154473,1.8933493
1.1923702,1.3843019,0.8646485,1.9993945
1.1008854,1.4259866,1.0445728,1.8442377
3.1488376,3.4836972,2.9312038,3.9692943
2.581678,2.7903023,2.066138,3.4385214
2.4387393,2.8430018,2.2618766,3.354605
4.206282,4.2012906,3.487603,4.8386292
3.5493855,4.0182333,3.5376976,4.7108517
2.9225202,3.9767857,3.5716043,4.3591633
2.9502506,3.48563,2.9201524,4.060073
2.3305497,2.8802235,2.3356926,3.4046998
2.2705739,2.6601827,1.9685116,3.2683704
4.538493,3.4165726,2.9504232,4.085639
3.8223588,3.9140024,3.3582866,4.7538295
3.470253,3.553161,3.0758648,4.014135
3.0227108,3.2457798,2.8161185,3.8942695
2.670455,3.3285382,2.8074167,3.8270805
2.7646482,2.9386992,2.3318372,3.5875888
2.286983,2.342818,1.6678706,3.0289936
2.128858,2.2423475,1.6086469,2.8419843
2.5374417,3.5060666,2.8279593,4.2713485
2.4551752,3.2741125,2.7101386,3.9440172
2.5463707,3.0869033,2.6476948,3.683719
2.435583,3.0904324,2.2910218,3.8396964
2.4611661,3.2014644,2.5407817,3.728158
2.5209415,2.7710915,2.2702634,3.2258277
2.1431289,2.2349007,1.6667557,2.7812796
1.9353529,2.3343608,1.7952133,2.7757006
1.8789506,2.3100438,1.7909163,2.8866782
1.4073787,1.6041722,1.0840979,1.9456633
2.9558165,2.0071914,1.4401156,2.5006316
1.937823,1.822218,1.2034365,2.389243
3.2858555,1.4338287,0.9794619,1.8661318
1.5205535,1.8389987,1.2379138,2.3757722
1.3033926,1.6550388,1.1001312,2.2974272
1.4613372,1.6053692,1.1022995,2.1140218
1.6462473,1.4922835,1.0536551,1.9669276
1.0706987,1.695533,1.1279182,2.1340344
1.3494223,1.7762504,1.1592102,2.3565445
1.3279766,1.6362914,1.1400473,2.1846848
1.4608201,1.6235689,1.0054687,2.2678583
1.5328119,1.528847,1.0661013,2.0968347
1.298427,1.2315307,0.6853624,1.8020233
1.2417883,1.2718637,0.6121553,1.8823912
1.3239964,1.4128802,0.92245597,1.9218619
3.1652112,3.038025,2.516294,3.5367255
2.4599109,2.7959104,2.3123846,3.3990302
2.7465096,2.6524553,2.0419729,3.1222875
2.646603,2.2968886,1.8150846,2.7767136
2.1070323,1.9372629,1.0733047,2.72808
1.688688,1.8817875,1.3099928,2.4016993
3.2818117,2.2024457,1.5568444,2.6979651
2.5249507,2.7668638,2.2412047,3.2834532
1.9663405,2.4291794,1.9683402,2.9063082
1.9183125,2.3150644,1.8342417,2.8095927
2.3071258,2.1819487,1.6344557,2.7745655
2.213224,2.2311234,1.7140987,2.778158
2.297302,1.9724318,1.4563298,2.4401848
2.0144095,1.7348704,1.1735048,2.1185484
1.9252557,1.7231672,1.2043273,2.1730542
1.9319474,2.4689982,1.8067843,3.082959
1.7364573,2.199257,1.7616215,2.604045
1.7693739,1.9573696,1.5186784,2.5278726
1.8376114,2.0932915,1.5630549,2.654612
1.9744437,2.3248217,1.7279568,2.8876607
1.9099258,1.9606068,1.2914021,2.5498712
1.6852632,1.6893802,1.1093767,2.2721093
1.6292338,1.7426056,1.2061911,2.3502834
1.4933487,1.6150643,1.1036882,2.1063557
2.2475195,2.5091531,2.1201289,2.8919387
1.9395125,2.0773315,1.502234,2.6381536
1.790643,2.056058,1.5389307,2.545229
2.840438,3.0932605,2.7210133,3.6550407
2.4258995,2.902584,2.4019833,3.2664864
2.7348433,2.8193944,2.178741,3.394578
2.8375404,2.4769707,1.9368659,2.997543
2.210384,1.9636749,1.4961761,2.4083383
1.8021414,1.937141,1.3568345,2.4856477
2.0010684,2.5719914,2.0452635,2.906496
