block_width,t,method,rmse
13,30,Support-aware,0.2755748941465919
13,30,PostAgg,0.2409626877784704
13,30,Centroid,0.2758511762562225
13,31,Support-aware,0.3746472776292273
13,31,PostAgg,0.4867642403765228
13,31,Centroid,0.6173701341158155
13,32,Support-aware,0.4690535734716376
13,32,PostAgg,0.5540889302417746
13,32,Centroid,0.6767025218344835
13,33,Support-aware,0.5090029017880362
13,33,PostAgg,0.6336527453546973
13,33,Centroid,0.789692706101651
13,34,Support-aware,0.36209966988127357
13,34,PostAgg,0.43939331322657993
13,34,Centroid,0.5605554396389252
13,35,Support-aware,0.5599914402131958
13,35,PostAgg,0.631528924642196
13,35,Centroid,0.7282763533684775
13,36,Support-aware,0.43842501061221417
13,36,PostAgg,0.3122493723860627
13,36,Centroid,0.19775718170509018
13,37,Support-aware,0.3241876869233232
13,37,PostAgg,0.27761613113583417
13,37,Centroid,0.34003510347611665
13,38,Support-aware,0.3324757726316496
13,38,PostAgg,0.4185497933048781
13,38,Centroid,0.488051063054393
13,39,Support-aware,0.2640773645350138
13,39,PostAgg,0.2603936005458851
13,39,Centroid,0.3398414218285294
13,40,Support-aware,0.1476077517669067
13,40,PostAgg,0.30818958578310196
13,40,Centroid,0.3575915235818582
13,41,Support-aware,0.32739843007335767
13,41,PostAgg,0.29385709631549894
13,41,Centroid,0.3617352439225615
13,42,Support-aware,0.2979170590173695
13,42,PostAgg,0.3590561336013649
13,42,Centroid,0.48651327801309036
13,43,Support-aware,0.37285538270824253
13,43,PostAgg,0.47308998646020217
13,43,Centroid,0.5667877476807563
13,44,Support-aware,0.3654687409325996
13,44,PostAgg,0.4609416604942418
13,44,Centroid,0.5507449944682711
13,45,Support-aware,0.1840957999999997
13,45,PostAgg,0.10943389999999997
13,45,Centroid,0.32402489999999995
13,46,Support-aware,0.3434082046731692
13,46,PostAgg,0.40219347888578644
13,46,Centroid,0.5267247578919939
13,47,Support-aware,0.4735413589949049
13,47,PostAgg,0.3821141587148831
13,47,Centroid,0.5128630816222438
13,48,Support-aware,0.5402135897392353
13,48,PostAgg,0.5488904129791753
13,48,Centroid,0.6231411445275334
13,49,Support-aware,0.49702439831105294
13,49,PostAgg,0.5933775439776134
13,49,Centroid,0.7299514261962649
13,50,Support-aware,0.1354632355547808
13,50,PostAgg,0.10007774574855939
13,50,Centroid,0.19684412529425402
13,51,Support-aware,0.3935810803324218
13,51,PostAgg,0.5811380554885276
13,51,Centroid,0.7039860651858904
13,52,Support-aware,0.37361168143747686
13,52,PostAgg,0.4660715233279684
13,52,Centroid,0.5860926713971126
13,53,Support-aware,0.3509575734184193
13,53,PostAgg,0.47336549685900803
13,53,Centroid,0.5981008817976942
13,54,Support-aware,0.33913987998385825
13,54,PostAgg,0.34646626067584124
13,54,Centroid,0.46194805778788417
13,55,Support-aware,0.2919732636131611
13,55,PostAgg,0.2966833329772519
13,55,Centroid,0.39832373889412404
13,56,Support-aware,0.26158986380689225
13,56,PostAgg,0.29517470077472674
13,56,Centroid,0.37678108291130796
13,57,Support-aware,0.16755532885311844
13,57,PostAgg,0.7212775312624329
13,57,Centroid,0.8744880302002024
13,58,Support-aware,0.31489598830252913
13,58,PostAgg,0.2925810176969709
13,58,Centroid,0.3548158654201813
13,59,Support-aware,0.3107800858542291
13,59,PostAgg,0.25534202144702967
13,59,Centroid,0.296675595565693
13,60,Support-aware,0.2937592913356722
13,60,PostAgg,0.2959958459113166
13,60,Centroid,0.31796798986603836
13,61,Support-aware,0.24498584664232842
13,61,PostAgg,0.20889200470658364
13,61,Centroid,0.3397357385742754
13,62,Support-aware,0.25698461397533306
13,62,PostAgg,0.2442763498610383
13,62,Centroid,0.2850723700447476
13,63,Support-aware,0.2891855041943732
13,63,PostAgg,0.30256775891041593
13,63,Centroid,0.4272397531775069
13,64,Support-aware,0.30261705787092674
13,64,PostAgg,0.31824470390856063
13,64,Centroid,0.33737514522226086
13,65,Support-aware,0.544906242208589
13,65,PostAgg,0.7857338336170407
13,65,Centroid,0.931255802124176
13,66,Support-aware,0.4572948249215763
13,66,PostAgg,0.528663779477442
13,66,Centroid,0.6314437066039025
13,67,Support-aware,0.4499996578966996
13,67,PostAgg,0.48956886824396706
13,67,Centroid,0.6169286458982287
13,68,Support-aware,0.5813685910526493
13,68,PostAgg,0.7302392486266526
13,68,Centroid,0.8736657747858302
13,70,Support-aware,0.575224640081348
13,70,PostAgg,0.7285842825477731
13,70,Centroid,0.8837534423786596
13,71,Support-aware,0.5832482947362455
13,71,PostAgg,0.6535837280812814
13,71,Centroid,0.7855867277256033
13,72,Support-aware,0.48207663426773084
13,72,PostAgg,0.598839133313782
13,72,Centroid,0.8128986965629723
13,73,Support-aware,0.3824931924980883
13,73,PostAgg,0.43349467446104756
13,73,Centroid,0.5896131125774801
13,74,Support-aware,0.4859866915260068
13,74,PostAgg,0.5111535414049111
13,74,Centroid,0.6735991367411103
13,75,Support-aware,0.47632314448595864
13,75,PostAgg,0.5539597414864069
13,75,Centroid,0.6764299548734494
13,76,Support-aware,0.40808056117985475
13,76,PostAgg,0.4780084061501069
13,76,Centroid,0.644922181841277
13,77,Support-aware,0.3632606199006549
13,77,PostAgg,0.3983854757696403
13,77,Centroid,0.4676461826060658
13,78,Support-aware,0.43792459705899606
13,78,PostAgg,0.5802634496887603
13,78,Centroid,0.7572461007148366
13,79,Support-aware,0.3628560744489826
13,79,PostAgg,0.5460603384001321
13,79,Centroid,0.7059170512611777
13,80,Support-aware,0.4821482863107275
13,80,PostAgg,0.5965884551423365
13,80,Centroid,0.7137030936767731
13,81,Support-aware,0.506133124435237
13,81,PostAgg,0.6033134734022344
