support,rmse,mae,crps,coverage90,width90,rep,method
union,0.110244626711268,0.0874372961339968,0.0659619646421104,0.7583333333333333,0.2919430925656028,1,SA-BNO
point,0.1881593895939375,0.1363348243337613,0.1073087667305062,0.6583333333333333,0.3233790809191267,1,Centroid
small,0.1884425256278562,0.1437691040881017,0.1130914464965433,0.6583333333333333,0.3224678866019843,1,Centroid
medium,0.1376537907456796,0.1083925045601001,0.0802225492656975,0.7666666666666667,0.3228700925158917,1,Centroid
large,0.1071113843519556,0.0823818350807184,0.0618435309565871,0.8666666666666667,0.3233418492684661,1,Centroid
wide,0.1501559567553907,0.1080347041741631,0.0826635113503855,0.7875,0.3221961520073891,1,Centroid
union,0.2846652924429813,0.2001731830124118,0.1662304784222572,0.5916666666666667,0.324519865921801,1,Centroid
point,0.1881593895939375,0.1363348243337613,0.1073087667305062,0.6583333333333333,0.3233790809191267,1,PostAgg
small,0.1833550636499394,0.1397945859613839,0.1094483779670657,0.6916666666666667,0.3105137317568032,1,PostAgg
medium,0.1319827843537609,0.102509491823269,0.0753809299992079,0.7791666666666667,0.2955369104127329,1,PostAgg
large,0.0848865156387164,0.0678875288475036,0.0499155081038892,0.8833333333333333,0.2905211873888799,1,PostAgg
wide,0.060939201429818,0.0484300843592965,0.0375537377176858,0.975,0.2891926694528129,1,PostAgg
union,0.114272505645321,0.0892677620824571,0.0674034707507678,0.7916666666666666,0.2942005181570843,1,PostAgg
point,0.2519150648173645,0.1860131716808631,0.1470781510629297,0.625,0.3951130364948108,2,SA-BNO
small,0.2238344514503494,0.1580851134244766,0.1242932624426876,0.6458333333333334,0.3436140692388141,2,SA-BNO
medium,0.1250630520640369,0.0949950862871314,0.0727019339546412,0.7708333333333334,0.2866046699087877,2,SA-BNO
large,0.0747772289989902,0.0546575918862102,0.0439122511147707,0.9208333333333332,0.2742646692169506,2,SA-BNO
wide,0.0617712846029482,0.0474003457336341,0.0373077203906135,0.9458333333333332,0.2721290172857563,2,SA-BNO
union,0.1170929992416793,0.0894411559037165,0.0654220552933127,0.825,0.2868771442016699,2,SA-BNO
point,0.2279742584384219,0.1582485329520825,0.1295050857931017,0.6083333333333333,0.3176499907429744,2,Centroid
small,0.2185737424554511,0.1450831175279636,0.1171361413354205,0.6625,0.3175071861827893,2,Centroid
medium,0.1420196067925784,0.1060234501381524,0.0824180206371003,0.7416666666666667,0.3177594417834882,2,Centroid
large,0.1156262198082096,0.0811837729819967,0.061138720826667,0.8791666666666667,0.3179420135775277,2,Centroid
wide,0.1581615282961691,0.1173157150200596,0.088532609441245,0.7375,0.317717011717501,2,Centroid
union,0.2703431556764592,0.1875155613018683,0.1567633469210101,0.5666666666666667,0.3179467694810942,2,Centroid
point,0.2279742584384219,0.1582485329520825,0.1295050857931017,0.6083333333333333,0.3176499907429744,2,PostAgg
small,0.2128748891717234,0.142186868688723,0.1146079374384112,0.6625,0.3054107421049885,2,PostAgg
medium,0.1223570743783168,0.0929753038444761,0.0719648649591143,0.7708333333333334,0.2901374845532493,2,PostAgg
large,0.0800631926452837,0.0611539940631013,0.0472264654829127,0.9166666666666666,0.2849558463763794,2,PostAgg
wide,0.0671661359207772,0.0519374762814559,0.040537126099384,0.9458333333333332,0.2837283778849426,2,PostAgg
union,0.1145320607370213,0.0868500930532008,0.0645951553300976,0.8166666666666667,0.2884756593655973,2,PostAgg
point,0.2426020674833383,0.1710378720505334,0.1354716482929396,0.6916666666666667,0.3969638227825822,3,SA-BNO
small,0.2035524385264513,0.1466264941164322,0.1133885917731506,0.6833333333333333,0.3453595994117711,3,SA-BNO
medium,0.1489242312183991,0.1094241414299393,0.0856610179319619,0.7291666666666666,0.2908174614205334,3,SA-BNO
large,0.0891306166161981,0.0681058695221481,0.0540054894169456,0.8708333333333333,0.2786953587073409,3,SA-BNO
wide,0.0628752868482581,0.0461801392210631,0.0381382387811645,0.9416666666666668,0.2767878701493411,3,SA-BNO
union,0.1140177753300153,0.082615681204381,0.0637378545343004,0.8375,0.2909921874902588,3,SA-BNO
point,0.2362423816230653,0.1728050991004176,0.1379929380999387,0.6125,0.3248157125563357,3,Centroid
small,0.1973061371114843,0.1449295558276179,0.1131386276745243,0.6583333333333333,0.3244082560407391,3,Centroid
medium,0.1654202709930145,0.1239797643558329,0.0956067454094323,0.7125,0.3252589958779655,3,Centroid
large,0.1230612875668644,0.0922342634459441,0.0727370100126699,0.8041666666666667,0.323928647844797,3,Centroid
wide,0.1633330235959616,0.1131818353668638,0.0877812111759986,0.7666666666666667,0.3252354696324998,3,Centroid
union,0.2390289890485323,0.1548639650549931,0.1278882801098638,0.6875,0.3246829889512269,3,Centroid
point,0.2362423816230653,0.1728050991004176,0.1379929380999387,0.6125,0.3248157125563357,3,PostAgg
small,0.193901918112196,0.1428246384436889,0.1118264381542433,0.6583333333333333,0.3123260824310385,3,PostAgg
medium,0.1569136296447427,0.1169424991516753,0.0902212465444505,0.7166666666666667,0.2972725968692054,3,PostAgg
large,0.1032278015833616,0.0801468839834845,0.0610570194933297,0.8458333333333333,0.2918975429602151,3,PostAgg
wide,0.0683752073711519,0.0524920363585643,0.0425808290976984,0.9291666666666668,0.2908569557738378,3,PostAgg
union,0.1137638241330745,0.0835769385372664,0.0644235676876254,0.8375,0.2954362885694734,3,PostAgg
point,0.2208214238553349,0.1584480326350328,0.1230775427458624,0.7041666666666667,0.3940927919815254,4,SA-BNO
small,0.18266569876493,0.1337183025970329,0.1025232981714583,0.725,0.3423189675277544,4,SA-BNO
medium,0.1421931170608757,0.1022831448593919,0.0803537283112053,0.7458333333333333,0.2882019070685227,4,SA-BNO
large,0.0700893874066643,0.0519323112678311,0.0422467123282628,0.9416666666666668,0.2765230807323951,4,SA-BNO
wide,0.0635472149737329,0.0429372625328838,0.038986931069829,0.95,0.2746854363188028,4,SA-BNO
union,0.1175247567602255,0.0846113885078622,0.0658859972651243,0.8041666666666667,0.2883184879304109,4,SA-BNO
point,0.1872075995258496,0.1281177180623563,0.1043145017314079,0.6791666666666667,0.3179322887356541,4,Centroid
