support,rmse,mae,crps,coverage90,width90,rep,method
circle,0.1540628544052015,0.1202458483652927,0.0906415703973041,0.81,0.4107893745058548,1,Centroid
union,0.2174270058305204,0.1730679141055256,0.1331434357601157,0.65,0.4109581416486971,1,Centroid
point,0.2753332497623011,0.2180111671220706,0.1720500934279901,0.56,0.4115678204829822,1,PostAgg
small,0.221268520305496,0.1742537168711443,0.1344830319694377,0.67,0.4013223919861454,1,PostAgg
medium,0.0852646526880086,0.0677630765542607,0.055381392113487,0.9525,0.3850241344873336,1,PostAgg
large,0.0376176323624879,0.0304239908402716,0.0400332169394317,1.0,0.38097928663601,1,PostAgg
circle,0.0565415332153057,0.0440965057073773,0.0447290402717725,0.9825,0.3824965625845237,1,PostAgg
union,0.1040307343504656,0.0857963188554519,0.0638851414374688,0.915,0.3843729736835706,1,PostAgg
point,0.1547015000525383,0.1209961063288339,0.0978445402395346,0.6725,0.3028768277106363,2,SA-BNO
small,0.1346536658688042,0.1067635063772042,0.085041383882366,0.665,0.2770042600952939,2,SA-BNO
medium,0.054325848476828,0.0425523599171041,0.0383855236446983,0.91,0.2282094771394841,2,SA-BNO
large,0.0275617877286987,0.0223705432559105,0.0337850402439317,0.9375,0.2171355231204522,2,SA-BNO
circle,0.0381234182568776,0.0293958300221855,0.035971203147974,0.9225,0.2211282663915853,2,SA-BNO
union,0.0616909709503073,0.0494681105426057,0.0450875965603406,0.8525,0.2286700727507633,2,SA-BNO
point,0.2680194688676114,0.2136360069191127,0.1696408773512146,0.54,0.4054577683684116,2,Centroid
small,0.2232733348772216,0.1794557505100039,0.136455040917638,0.625,0.405226237208047,2,Centroid
medium,0.134948475980361,0.1054358764923309,0.079008152541295,0.86,0.4056524719292413,2,Centroid
large,0.1526586185110021,0.121386147465156,0.0956360770537344,0.765,0.406078915048658,2,Centroid
circle,0.1551332105497389,0.1235311697792802,0.0940353063167027,0.81,0.4059957216326833,2,Centroid
union,0.1946682884081286,0.1549777239070728,0.1181647722766709,0.7025,0.4059259831069376,2,Centroid
point,0.2680194688676114,0.2136360069191127,0.1696408773512146,0.54,0.4054577683684116,2,PostAgg
small,0.2264496670677609,0.1818034928242516,0.1390490069382156,0.6175,0.3967714767789826,2,PostAgg
medium,0.0904286365211654,0.0708123977770339,0.0571867339622272,0.9425,0.381628615238877,2,PostAgg
large,0.0426362040901983,0.0336580439654057,0.0417572695189135,0.9925,0.3778604406298976,2,PostAgg
circle,0.0622979922134976,0.0482838456745792,0.0473367119337413,0.9725,0.3792648798174097,2,PostAgg
union,0.1030270035019573,0.0804153950190751,0.0648231696658157,0.895,0.3810171103925286,2,PostAgg
point,0.1639575943322516,0.1284031000260864,0.1008360552040688,0.65,0.3027233102195443,3,SA-BNO
small,0.1224817323846754,0.0940246479587289,0.0772408701152787,0.7275,0.2757836532629005,3,SA-BNO
medium,0.0528459289634241,0.0413757410824414,0.0423812927070243,0.875,0.2267908969591566,3,SA-BNO
large,0.0288309656262802,0.0221794696109074,0.030186427309716,0.945,0.2153318273144673,3,SA-BNO
circle,0.0403315410353746,0.0304980099426915,0.0349230268474719,0.93,0.2197016397481678,3,SA-BNO
union,0.0588871851854268,0.0463601354220982,0.0420082581312172,0.86,0.2270843823190764,3,SA-BNO
point,0.2610754211282246,0.204200210361618,0.162266230394637,0.5675,0.4050220940227089,3,Centroid
