rep,width,method,rmse
6,0.24,PostAgg,0.060179517788789
6,0.28,SA-BNO,0.0367236391158023
6,0.28,Centroid,0.1650292615855327
6,0.28,PostAgg,0.0584477164619397
6,0.32,SA-BNO,0.0308559293117847
6,0.32,Centroid,0.1656976760610085
6,0.32,PostAgg,0.0479914402337345
6,0.36,SA-BNO,0.0264496112017508
6,0.36,Centroid,0.1574560525830712
6,0.36,PostAgg,0.0370801954742827
6,0.4,SA-BNO,0.0212384128547121
6,0.4,Centroid,0.1669147651050024
6,0.4,PostAgg,0.031373859275455
7,0.0,SA-BNO,0.1677212229084949
7,0.0,Centroid,0.2809650475280653
7,0.0,PostAgg,0.2809650475280653
7,0.04,SA-BNO,0.1611393852420867
7,0.04,Centroid,0.2656149037812327
7,0.04,PostAgg,0.2681739137383288
7,0.08,SA-BNO,0.1078082839354616
7,0.08,Centroid,0.1920768636953235
7,0.08,PostAgg,0.1958445065076836
7,0.12,SA-BNO,0.0759039939641123
7,0.12,Centroid,0.1406725192379523
7,0.12,PostAgg,0.1283940216061307
7,0.16,SA-BNO,0.052572677927762
7,0.16,Centroid,0.1323974449021066
7,0.16,PostAgg,0.0873789154891351
7,0.2,SA-BNO,0.0452064909851937
7,0.2,Centroid,0.1313553924102771
7,0.2,PostAgg,0.0685729582708324
7,0.24,SA-BNO,0.041574821154191
7,0.24,Centroid,0.1479028868203855
7,0.24,PostAgg,0.057279832618422
7,0.28,SA-BNO,0.0325280037939133
7,0.28,Centroid,0.1451392225992583
7,0.28,PostAgg,0.0488168563635639
7,0.32,SA-BNO,0.0269716780383716
7,0.32,Centroid,0.1437234117137813
7,0.32,PostAgg,0.0412155698848725
7,0.36,SA-BNO,0.0249822428343859
7,0.36,Centroid,0.1620660523426403
7,0.36,PostAgg,0.0349213199356252
7,0.4,SA-BNO,0.020271217372495
7,0.4,Centroid,0.1488682426504804
7,0.4,PostAgg,0.0280575936828251
8,0.0,SA-BNO,0.1614976302319783
8,0.0,Centroid,0.2842770206416979
8,0.0,PostAgg,0.2842770206416979
8,0.04,SA-BNO,0.1515934322730466
8,0.04,Centroid,0.2577539969367206
8,0.04,PostAgg,0.2612592881686669
8,0.08,SA-BNO,0.1072178341802248
8,0.08,Centroid,0.1744996557415389
8,0.08,PostAgg,0.1805392398177466
8,0.12,SA-BNO,0.077300786119333
8,0.12,Centroid,0.1370627929672143
8,0.12,PostAgg,0.1256290734676912
8,0.16,SA-BNO,0.0577310538519002
8,0.16,Centroid,0.1289979901282044
8,0.16,PostAgg,0.0831388759286292
8,0.2,SA-BNO,0.0461404075749514
8,0.2,Centroid,0.14609842801968
8,0.2,PostAgg,0.0703131373863427
8,0.24,SA-BNO,0.0378472982828902
8,0.24,Centroid,0.1467353366097054
8,0.24,PostAgg,0.0506341384152439
8,0.28,SA-BNO,0.0366409280526028
8,0.28,Centroid,0.1685488498707404
8,0.28,PostAgg,0.0531773507677497
8,0.32,SA-BNO,0.0270469296876101
8,0.32,Centroid,0.1469484180664754
8,0.32,PostAgg,0.0404335304741071
8,0.36,SA-BNO,0.0266907340973948
8,0.36,Centroid,0.1513920417376443
8,0.36,PostAgg,0.0378427450076996
8,0.4,SA-BNO,0.0209141210869677
8,0.4,Centroid,0.1590593649108626
8,0.4,PostAgg,0.0311602212607001
9,0.0,SA-BNO,0.1527044051859792
9,0.0,Centroid,0.2570409504310055
9,0.0,PostAgg,0.2570409504310055
9,0.04,SA-BNO,0.1469197843326809
9,0.04,Centroid,0.2493735308462539
9,0.04,PostAgg,0.2513291470063086
9,0.08,SA-BNO,0.1016517519723402
9,0.08,Centroid,0.1876031140578154
9,0.08,PostAgg,0.1920392462890377
9,0.12,SA-BNO,0.0722508721822003
9,0.12,Centroid,0.1531603620249456
9,0.12,PostAgg,0.1300085626492094
9,0.16,SA-BNO,0.0502585339266586
9,0.16,Centroid,0.1364822690298121
9,0.16,PostAgg,0.0835407276481879
9,0.2,SA-BNO,0.041393855838648
9,0.2,Centroid,0.1453182375362404
9,0.2,PostAgg,0.0694762834820079
9,0.24,SA-BNO,0.0358881481014381
9,0.24,Centroid,0.1533995573634067
9,0.24,PostAgg,0.0562965679847676
9,0.28,SA-BNO,0.0304036159458151
9,0.28,Centroid,0.1489578959132492
9,0.28,PostAgg,0.0461841638167837
9,0.32,SA-BNO,0.0280822672338156
9,0.32,Centroid,0.1534653078011796
9,0.32,PostAgg,0.0414637232575882
9,0.36,SA-BNO,0.0236268834626553
9,0.36,Centroid,0.153240955215312
9,0.36,PostAgg,0.0354149046974414
9,0.4,SA-BNO,0.0197875442039609
9,0.4,Centroid,0.1522663667566473
9,0.4,PostAgg,0.02864644523463
